name	|	uid	|	type	|	uniqname	|	sourceinfo	|	
Brachyonostylum	|	3094644	|	synonym	|	Brachyonostylum (synonym for Brachionostylum)	|	gbif:3094644	|	
Libanothamnus	|	3105048	|	synonym	|	Libanothamnus (synonym for Espeletia)	|	gbif:3105048	|	
Coespeletia	|	3105048	|	synonym	|	Coespeletia (synonym for Espeletia)	|	gbif:3105048	|	
Ruilopezia	|	3105048	|	synonym	|	Ruilopezia (synonym for Espeletia)	|	gbif:3105048	|	
Espeletiopsis	|	3105048	|	synonym	|	Espeletiopsis (synonym for Espeletia)	|	gbif:3105048	|	
Tamania	|	3105048	|	synonym	|	Tamania (synonym for Espeletia)	|	gbif:3105048	|	
Carramboa	|	3105048	|	synonym	|	Carramboa (synonym for Espeletia)	|	gbif:3105048	|	
Vilobia	|	3088468	|	synonym	|	Vilobia (synonym for Tagetes)	|	gbif:3088468	|	
Adenopappus	|	3088468	|	synonym	|	Adenopappus (synonym for Tagetes)	|	gbif:3088468	|	
Scalia	|	3100330	|	synonym	|	Scalia (synonym for Podolepis)	|	gbif:3100330	|	
Oxytenia	|	3099628	|	synonym	|	Oxytenia (synonym for Euphrosyne)	|	gbif:3099628	|	
Chorisiva	|	3099628	|	synonym	|	Chorisiva (synonym for Euphrosyne)	|	gbif:3099628	|	
Cyclachaena	|	3099628	|	synonym	|	Cyclachaena (synonym for Euphrosyne)	|	gbif:3099628	|	
Leuciva	|	3099628	|	synonym	|	Leuciva (synonym for Euphrosyne)	|	gbif:3099628	|	
Richterago	|	3094959	|	synonym	|	Richterago (synonym for Gochnatia)	|	gbif:3094959	|	
Pentaphorus	|	3094959	|	synonym	|	Pentaphorus (synonym for Gochnatia)	|	gbif:3094959	|	
Actinoseris	|	3094959	|	synonym	|	Actinoseris (synonym for Gochnatia)	|	gbif:3094959	|	
Anastraphia	|	3094959	|	synonym	|	Anastraphia (synonym for Gochnatia)	|	gbif:3094959	|	
Seris	|	3094959	|	synonym	|	Seris (synonym for Gochnatia)	|	gbif:3094959	|	
Pterigeron	|	3127340	|	synonym	|	Pterigeron (synonym for Streptoglossa)	|	gbif:3127340	|	
Sinclairiopsis	|	3098767	|	synonym	|	Sinclairiopsis (synonym for Sinclairia)	|	gbif:3098767	|	
Liabellum	|	3098767	|	synonym	|	Liabellum (synonym for Sinclairia)	|	gbif:3098767	|	
×Venidio-Arctotis	|	3151057	|	synonym	|	×Venidio-Arctotis (synonym for Arctotis)	|	gbif:3151057	|	
Venidium	|	3151057	|	synonym	|	Venidium (synonym for Arctotis)	|	gbif:3151057	|	
Eremiastrum	|	3101323	|	synonym	|	Eremiastrum (synonym for Monoptilon)	|	gbif:3101323	|	
Fleischmanniana	|	3142374	|	synonym	|	Fleischmanniana (synonym for Eupatorium)	|	gbif:3142374	|	
Viereckia	|	3142374	|	synonym	|	Viereckia (synonym for Eupatorium)	|	gbif:3142374	|	
Cronquistianthus	|	3142374	|	synonym	|	Cronquistianthus (synonym for Eupatorium)	|	gbif:3142374	|	
Eupatoriadelphus	|	3142374	|	synonym	|	Eupatoriadelphus (synonym for Eupatorium)	|	gbif:3142374	|	
Asplundianthus	|	3142374	|	synonym	|	Asplundianthus (synonym for Eupatorium)	|	gbif:3142374	|	
Neobartlettia	|	3142374	|	synonym	|	Neobartlettia (synonym for Eupatorium)	|	gbif:3142374	|	
Bartlettina	|	3142374	|	synonym	|	Bartlettina (synonym for Eupatorium)	|	gbif:3142374	|	
Conoclinium	|	3142374	|	synonym	|	Conoclinium (synonym for Eupatorium)	|	gbif:3142374	|	
Chromolaena	|	3142374	|	synonym	|	Chromolaena (synonym for Eupatorium)	|	gbif:3142374	|	
Praxelis	|	3142374	|	synonym	|	Praxelis (synonym for Eupatorium)	|	gbif:3142374	|	
Campuloclinium	|	3142374	|	synonym	|	Campuloclinium (synonym for Eupatorium)	|	gbif:3142374	|	
Fleischmannia	|	3142374	|	synonym	|	Fleischmannia (synonym for Eupatorium)	|	gbif:3142374	|	
Ferdinanda	|	3101694	|	synonym	|	Ferdinanda (synonym for Zaluzania)	|	gbif:3101694	|	
Aiolotheca	|	3101694	|	synonym	|	Aiolotheca (synonym for Zaluzania)	|	gbif:3101694	|	
Sphaeromorphaea	|	3125360	|	synonym	|	Sphaeromorphaea (synonym for Epaltes)	|	gbif:3125360	|	
Spadonia	|	3110428	|	synonym	|	Spadonia (synonym for Moquinia)	|	gbif:3110428	|	
Leucochrysum	|	3143206	|	synonym	|	Leucochrysum (synonym for Helipterum)	|	gbif:3143206	|	
Syncarpha	|	3143206	|	synonym	|	Syncarpha (synonym for Helipterum)	|	gbif:3143206	|	
Anemocarpa	|	3143206	|	synonym	|	Anemocarpa (synonym for Helipterum)	|	gbif:3143206	|	
Pteropogon	|	3143206	|	synonym	|	Pteropogon (synonym for Helipterum)	|	gbif:3143206	|	
Pyrethrum	|	3118160	|	synonym	|	Pyrethrum (synonym for Tanacetum)	|	gbif:3118160	|	
Balsamita	|	3118160	|	synonym	|	Balsamita (synonym for Tanacetum)	|	gbif:3118160	|	
Gymnocline	|	3118160	|	synonym	|	Gymnocline (synonym for Tanacetum)	|	gbif:3118160	|	
Lugoa	|	3118160	|	synonym	|	Lugoa (synonym for Tanacetum)	|	gbif:3118160	|	
Spathipappus	|	3118160	|	synonym	|	Spathipappus (synonym for Tanacetum)	|	gbif:3118160	|	
Gonospermum	|	3118160	|	synonym	|	Gonospermum (synonym for Tanacetum)	|	gbif:3118160	|	
Lepachys	|	3087170	|	synonym	|	Lepachys (synonym for Ratibida)	|	gbif:3087170	|	
Complaya	|	3116841	|	synonym	|	Complaya (synonym for Sphagneticola)	|	gbif:3116841	|	
Thelechitonia	|	3116841	|	synonym	|	Thelechitonia (synonym for Sphagneticola)	|	gbif:3116841	|	
Anvilleina	|	3090892	|	synonym	|	Anvilleina (synonym for Anvillea)	|	gbif:3090892	|	
Riddellia	|	3087645	|	synonym	|	Riddellia (synonym for Psilostrophe)	|	gbif:3087645	|	
Cardonaea	|	3110181	|	synonym	|	Cardonaea (synonym for Gongylolepis)	|	gbif:3110181	|	
Oxylaena	|	3121995	|	synonym	|	Oxylaena (synonym for Gibbaria)	|	gbif:3121995	|	
Nephrotheca	|	3121995	|	synonym	|	Nephrotheca (synonym for Gibbaria)	|	gbif:3121995	|	
Brauneria	|	3150914	|	synonym	|	Brauneria (synonym for Echinacea)	|	gbif:3150914	|	
